port,x,y,year,month,ph,do
梗枋漁港,121.868748,24.903815,2025,1,7.9,5.2
烏石港,121.833722,24.862932,2025,1,8.0,5.1
大溪第一漁港,121.898562,24.941374,2025,1,7.8,4.9
大溪第二漁港,121.899226,24.940673,2025,1,7.7,4.7
蕃薯寮漁港,121.914997,24.952099,2025,1,7.6,4.5
大里漁港,121.921493,24.962393,2025,1,7.5,4.3
石城漁港,121.951012,24.979958,2025,1,7.6,4.4
桶盤堀漁港,121.936331,24.973508,2025,1,7.7,4.6
蘇澳港,121.864898,24.587543,2025,1,7.8,4.8
南方澳第三漁港,121.866381,24.583869,2025,1,7.9,5.0
南方澳第一漁港,121.867377,24.582158,2025,1,8.0,5.3
南方澳第二漁港,121.868235,24.577644,2025,1,7.9,5.4
粉鳥林漁港,121.843455,24.497639,2025,1,8.1,5.5
朝陽漁港,121.820200,24.461127,2025,1,8.0,5.2

